sequence,frame,event_type,count
01,1126,id_switch,1
01,1127,id_switch,1
01,1128,fragmented_gt_track,2
01,1128,id_switch,1
01,1129,id_switch,1
01,1130,id_switch,1
01,1131,id_switch,1
01,1132,id_switch,1
01,1133,id_switch,1
01,1134,id_switch,1
01,1135,id_switch,1
01,1136,id_switch,1
01,1137,id_switch,1
01,1138,id_switch,1
01,1139,id_switch,1
01,1140,id_switch,1
01,1141,id_switch,1
01,1142,id_switch,1
01,1143,id_switch,1
01,1144,fragmented_gt_track,2
01,1144,id_switch,1
01,1145,id_switch,3
01,1146,id_switch,2
01,1147,id_switch,3
01,1148,id_switch,2
01,1149,id_switch,2
01,1150,id_switch,2
01,1151,id_switch,5
01,1152,id_switch,3
01,1153,id_switch,4
01,1154,id_switch,3
01,1155,id_switch,3
01,1156,id_switch,3
01,1157,id_switch,3
01,1158,id_switch,3
01,1159,id_switch,3
01,1160,id_switch,3
01,1161,id_switch,4
01,1162,id_switch,3
01,1163,id_switch,3
01,1164,id_switch,3
01,1165,id_switch,3
01,1166,id_switch,3
01,1167,id_switch,3
01,1168,id_switch,3
01,1169,id_switch,3
01,1170,id_switch,3
01,1171,id_switch,3
01,1172,id_switch,3
01,1173,id_switch,3
01,1174,id_switch,3
01,1175,fragmented_gt_track,2
01,1175,id_switch,3
01,1176,id_switch,3
01,1177,id_switch,3
01,1178,id_switch,3
01,1179,id_switch,4
01,1180,id_switch,3
01,1181,id_switch,3
01,1182,id_switch,4
01,1183,id_switch,5
01,1184,id_switch,4
01,1185,id_switch,4
01,1186,id_switch,4
01,1187,id_switch,4
01,1188,id_switch,3
01,1189,id_switch,3
01,1190,id_switch,3
01,1191,id_switch,3
01,1192,id_switch,3
01,1193,id_switch,3
01,1194,id_switch,3
01,1195,id_switch,3
01,1196,id_switch,3
01,1197,id_switch,3
01,1198,id_switch,3
01,1199,id_switch,3
01,1200,id_switch,3
01,1201,id_switch,3
01,1202,id_switch,3
01,1203,id_switch,3
01,1204,id_switch,3
01,1205,id_switch,3
01,1206,id_switch,3
01,1207,id_switch,3
01,1208,id_switch,3
01,1209,id_switch,3
01,1210,id_switch,3
01,1211,id_switch,4
01,1212,id_switch,3
01,1213,id_switch,3
01,1214,id_switch,3
01,1215,id_switch,3
01,1216,id_switch,3
01,1217,id_switch,3
01,1218,id_switch,3
01,1219,id_switch,3
01,1220,id_switch,3
01,1221,id_switch,3
01,1222,id_switch,3
01,1223,id_switch,3
01,1224,id_switch,3
01,1225,id_switch,3
01,1226,id_switch,6
01,1227,id_switch,4
01,1228,id_switch,4
01,1229,id_switch,4
01,1230,id_switch,4
01,1231,id_switch,4
01,1232,id_switch,6
01,1233,id_switch,5
01,1234,id_switch,5
01,1235,id_switch,7
01,1236,id_switch,6
01,1237,id_switch,6
01,1238,id_switch,5
01,1239,id_switch,5
01,1240,id_switch,6
01,1241,id_switch,5
01,1242,id_switch,5
01,1243,id_switch,5
01,1244,id_switch,5
01,1245,id_switch,5
01,1246,id_switch,5
01,1247,id_switch,6
01,1248,id_switch,4
01,1249,id_switch,3
01,1250,id_switch,3
01,1251,id_switch,3
01,1252,id_switch,3
01,1253,id_switch,3
01,1254,id_switch,3
01,1255,id_switch,3
01,1256,id_switch,3
01,1257,id_switch,3
01,1258,id_switch,3
01,1259,id_switch,3
01,1260,id_switch,3
01,1261,id_switch,3
01,1262,id_switch,3
01,1263,id_switch,3
01,1264,id_switch,4
01,1265,id_switch,3
01,1266,id_switch,5
01,1267,id_switch,5
01,1268,id_switch,4
01,1269,id_switch,4
01,1270,id_switch,4
01,1271,id_switch,4
01,1272,id_switch,4
01,1273,id_switch,4
01,1274,id_switch,4
01,1275,id_switch,4
01,1276,id_switch,4
01,1277,id_switch,5
01,1278,id_switch,3
01,1279,id_switch,3
01,1280,id_switch,3
01,1281,id_switch,3
01,1282,id_switch,2
01,1283,id_switch,2
01,1284,id_switch,2
01,1285,id_switch,3
01,1286,id_switch,3
01,1287,id_switch,2
01,1288,id_switch,2
01,1289,id_switch,2
01,1290,id_switch,2
01,1291,id_switch,2
01,1292,id_switch,2
01,1293,id_switch,2
01,1294,id_switch,2
01,1295,id_switch,2
01,1296,id_switch,1
01,1297,id_switch,2
01,1298,id_switch,1
01,1299,id_switch,1
01,1300,id_switch,1
01,1301,id_switch,1
01,1302,id_switch,1
01,1303,id_switch,1
01,1304,id_switch,2
01,1305,id_switch,1
01,1306,id_switch,1
01,1307,id_switch,1
01,1308,id_switch,1
01,1309,id_switch,1
01,1310,id_switch,1
01,1311,id_switch,1
01,1312,id_switch,1
01,1313,id_switch,1
01,1314,id_switch,1
01,1315,id_switch,1
01,1316,id_switch,1
01,1317,id_switch,1
01,1318,id_switch,1
01,1319,id_switch,1
01,1320,id_switch,1
01,1321,id_switch,1
01,1322,id_switch,1
01,1323,id_switch,1
01,1324,id_switch,1
01,1325,id_switch,2
01,1326,id_switch,1
01,1327,id_switch,1
01,1328,id_switch,1
01,1329,id_switch,2
01,1330,id_switch,1
01,1331,id_switch,1
01,1332,id_switch,1
01,1333,id_switch,1
01,1334,id_switch,1
01,1335,id_switch,3
01,1336,id_switch,2
01,1337,id_switch,2
01,1338,id_switch,2
01,1339,id_switch,2
01,1340,id_switch,2
01,1341,id_switch,2
01,1342,id_switch,2
01,1343,id_switch,1
01,1344,id_switch,1
01,1345,id_switch,1
01,1346,id_switch,1
01,1347,id_switch,1
01,1348,id_switch,1
01,1349,id_switch,1
01,1350,id_switch,3
01,1351,id_switch,2
01,1352,id_switch,2
01,1353,id_switch,2
01,1354,id_switch,2
01,1355,id_switch,2
01,1356,id_switch,3
01,1357,id_switch,2
01,1358,id_switch,2
01,1359,id_switch,2
01,1360,id_switch,2
01,1361,id_switch,2
01,1362,id_switch,4
01,1363,id_switch,5
01,1364,id_switch,4
01,1365,id_switch,4
01,1366,id_switch,5
01,1367,id_switch,4
01,1368,id_switch,4
01,1369,id_switch,4
01,1370,id_switch,3
01,1371,id_switch,3
01,1372,id_switch,3
01,1373,id_switch,4
01,1374,id_switch,4
01,1375,id_switch,4
01,1376,id_switch,4
01,1377,id_switch,4
01,1378,id_switch,5
01,1379,id_switch,5
01,1380,id_switch,6
01,1381,id_switch,5
01,1382,id_switch,4
01,1383,id_switch,4
01,1384,id_switch,4
01,1385,id_switch,3
01,1386,id_switch,4
01,1387,id_switch,3
01,1388,id_switch,3
01,1389,id_switch,3
01,1390,id_switch,4
01,1391,id_switch,3
01,1392,id_switch,3
01,1393,id_switch,3
01,1394,id_switch,3
01,1395,id_switch,3
01,1396,id_switch,3
01,1397,id_switch,3
01,1398,id_switch,3
01,1399,id_switch,2
01,1400,id_switch,2
01,1401,id_switch,2
01,1402,id_switch,2
