sequence,track,event_type,count
02,27,fragmented_gt_track,1
02,27,id_switch,46
02,270,fragmented_gt_track,1
02,270,id_switch,6
02,272,fragmented_gt_track,1
02,272,id_switch,48
02,273,fragmented_gt_track,1
02,273,id_switch,41
02,275,fragmented_gt_track,1
02,275,id_switch,63
02,277,fragmented_gt_track,1
02,277,id_switch,32
02,277,wrong_division_parent,1
02,278,fragmented_gt_track,1
02,278,id_switch,123
02,278,wrong_division_parent,1
02,28,fragmented_gt_track,1
02,28,id_switch,75
02,280,fragmented_gt_track,1
02,280,id_switch,43
02,280,wrong_division_parent,1
02,281,fragmented_gt_track,1
02,281,id_switch,92
02,281,wrong_division_parent,1
02,283,fragmented_gt_track,1
02,283,id_switch,25
02,284,fragmented_gt_track,1
02,284,id_switch,85
02,286,fragmented_gt_track,1
02,286,id_switch,43
02,287,fragmented_gt_track,1
02,287,id_switch,62
02,29,fragmented_gt_track,1
02,29,id_switch,31
02,29,wrong_division_parent,1
02,293,fragmented_gt_track,1
02,293,id_switch,68
02,293,wrong_division_parent,1
02,294,fragmented_gt_track,1
02,294,id_switch,24
02,294,wrong_division_parent,1
02,296,fragmented_gt_track,1
02,296,id_switch,47
02,297,fragmented_gt_track,1
02,297,id_switch,24
02,299,fragmented_gt_track,1
02,299,id_switch,31
02,30,fragmented_gt_track,1
02,30,id_switch,133
02,30,wrong_division_parent,1
02,300,fragmented_gt_track,1
02,300,id_switch,68
02,302,fragmented_gt_track,1
02,302,id_switch,31
02,302,wrong_division_parent,1
02,303,fragmented_gt_track,1
02,303,id_switch,74
02,303,wrong_division_parent,1
02,315,fragmented_gt_track,1
02,315,id_switch,59
02,316,fragmented_gt_track,1
02,316,id_switch,27
02,32,fragmented_gt_track,1
02,32,id_switch,202
02,320,fragmented_gt_track,1
02,320,id_switch,59
02,320,wrong_division_parent,1
02,321,fragmented_gt_track,1
02,321,id_switch,69
02,321,wrong_division_parent,1
02,322,fragmented_gt_track,1
02,322,id_switch,45
02,323,fragmented_gt_track,1
02,323,id_switch,60
02,325,fragmented_gt_track,1
02,325,id_switch,17
02,326,fragmented_gt_track,1
02,326,id_switch,17
02,328,fragmented_gt_track,1
02,328,id_switch,25
02,329,fragmented_gt_track,1
02,329,id_switch,18
02,33,fragmented_gt_track,1
02,33,id_switch,94
02,330,fragmented_gt_track,1
02,330,id_switch,3
02,330,wrong_division_parent,1
02,332,fragmented_gt_track,1
02,332,id_switch,10
02,332,wrong_division_parent,1
02,333,fragmented_gt_track,1
