sequence,frame,event_type,count
02,390,id_switch,2
02,391,id_switch,2
02,392,id_switch,2
02,393,id_switch,2
02,394,id_switch,2
02,395,id_switch,2
02,396,id_switch,2
02,397,id_switch,2
02,398,id_switch,2
02,399,id_switch,2
02,400,fragmented_gt_track,2
02,400,id_switch,1
02,400,wrong_division_parent,2
02,401,id_switch,3
02,402,id_switch,2
02,403,id_switch,2
02,404,id_switch,2
02,405,id_switch,2
02,406,id_switch,2
02,407,id_switch,2
02,408,id_switch,2
02,409,id_switch,2
02,410,id_switch,2
02,411,id_switch,2
02,412,id_switch,2
02,413,id_switch,2
02,414,id_switch,2
02,415,id_switch,2
02,416,id_switch,2
02,417,id_switch,2
02,418,id_switch,2
02,419,id_switch,2
02,420,id_switch,2
02,421,id_switch,2
02,422,id_switch,2
02,423,fragmented_gt_track,2
02,423,id_switch,1
02,424,id_switch,1
02,425,id_switch,1
02,426,id_switch,1
02,427,id_switch,1
02,428,id_switch,1
02,429,id_switch,1
02,430,id_switch,1
02,431,id_switch,1
02,432,id_switch,1
02,433,id_switch,1
02,434,id_switch,2
02,435,id_switch,2
02,436,id_switch,2
02,437,fragmented_gt_track,1
02,437,id_switch,2
02,438,id_switch,2
02,439,id_switch,2
02,440,id_switch,2
02,441,id_switch,2
02,442,id_switch,2
02,443,id_switch,1
02,444,id_switch,1
02,445,fragmented_gt_track,1
02,445,id_switch,2
02,446,id_switch,1
02,447,id_switch,2
02,448,id_switch,2
02,449,id_switch,1
02,450,id_switch,1
02,451,id_switch,1
02,452,id_switch,1
02,453,id_switch,1
02,454,id_switch,1
02,455,id_switch,1
02,456,id_switch,1
02,457,id_switch,1
02,458,id_switch,2
02,459,id_switch,1
02,460,id_switch,3
02,461,id_switch,1
02,462,id_switch,1
02,463,id_switch,1
02,464,id_switch,1
02,465,id_switch,1
02,466,id_switch,1
02,467,id_switch,1
02,468,id_switch,1
02,469,id_switch,1
02,470,id_switch,1
02,471,id_switch,1
02,472,id_switch,1
02,473,id_switch,1
02,474,id_switch,2
02,475,id_switch,3
02,476,id_switch,1
02,477,id_switch,1
02,478,id_switch,1
02,479,id_switch,1
02,480,id_switch,1
02,481,id_switch,1
02,482,id_switch,1
02,483,id_switch,1
02,484,id_switch,1
